word|s    nlet|f    frq|f Lev|f bi|f
optar   5   0.784675    1.65    22817.15366
origen  6   102.14  2.75    14115.78903
padre   5   383.57  1.9 35263.89918
parche  6   3.352704    1.4 39084.92889
parir   5   1.420198    1.55    44557.0474
parque  6   43.634868   1.4 43932.81326
partir  6   56.267493   1.7 45504.15061
pastor  6   9.82    1.75    49182.62229
pavor   5   1.124053    1.8 30828.16173
pecado  6   29.64   1.55    38676.98648
pecas   5   1.781191    1   33654.53238
pecho   5   68.04   1.6 32976.92505
pedazo  6   11.79   1.95    22864.62756
pedido  6   58.558831   1.45    30569.80683
pedir   5   70.218718   1.65    23306.6441
peine   5   3.155995    1.55    20995.80754
pelear  6   60.770189   1.5 40885.55801
pensar  6   230.651325  1.5 47901.20644
pepita  6   0.542572    1.6 24988.63155
percha  6   0.80413 1.7 39231.33249
perder  6   143.09193   1.75    55949.12659
pesca   5   16.25   1.75    31424.83108
petate  6   0.559865    1.9 33178.204
piedad  6   19.64   2.65    42378.48368
piedra  6   48.105139   1.85    39337.86452
piel    4   62.743766   1.5 24869.38225
pierna  6   24.64   1.95    35357.05284
pincel  6   1.521795    1.85    14722.97221
pintor  6   19.82   1.85    25023.27396
piojos  6   3.274885    1.8 10550.42514
pleito  6   6.07    2   13229.52093
plomo   5   13.93   1.8 4917.108848
polvo   5   42.37247    1.7 29319.09039
posar   5   1.962769    1   52210.33426
prado   5   4.597809    1.45    27241.12104
prenda  6   3.571029    1.3 47705.45896
prensa  6   53.018547   1.45    42643.34522
prever  6   1.530441    1.55    34037.4041
prior   5   1.746605    1.8 23046.6594
prole   5   0.557703    1.75    17776.35811
púas    4   1.932506    1.65    2744.40323
pubis   5   0.55338 1.9 13623.05177
pudor   5   0.83007 1.85    24779.70885
pueblo  6   179.545829  1.85    70773.96341
puerto  6   54.46   1.7 85561.17724
puesto  6   142.192688  1.55    84420.52295
pulgas  6   3.925538    1.55    18300.13857
pulmón  6   10.89   2.45    10990.81823
pureza  6   4.775063    1.8 17600.38538
quedar  6   64.786516   1.45    138939.1905
queja   5   13.04   1.8 115137.481
querer  6   49.045453   1.85    138658.8626
queso   5   11.07   1.85    122183.5719
quicio  6   3.186258    1.85    73319.07213
ración  6   2.97874 1.9 18994.48327
ranura  6   1.130538    1.85    22356.87143
rápido  6   334.833733  1.9 13751.20676
rapto   5   1.599614    1.4 8513.669488
rareza  6   1.242943    1.9 27944.65063
rasgo   5   1.616907    1.55    22883.10527
rato    4   72.5    3.748821    14183.13275
recado  6   6.96    1.7 34421.53884
recto   5   6.25    1.65    24916.57793
rector  6   2.492371    1.6 26738.34346
refrán  6   1.413713    1.95    12233.46129
regalo  6   29.29   1.8 23473.59228
regazo  6   3.616424    1.7 18900.60147
regla   5   26.25   1.9 18687.7102
reja    4   2.937669    1   16897.15656
relato  6   4.351382    1.2 33773.52649
reloj   5   50.71   2.1 26904.99485
rendir  6   4.331927    1.75    36524.70427
reojo   5   0.603098    1.8 11595.85303
repaso  6   1.415874    1.35    20367.79534
repisa  6   1.76606 1.55    16148.87037
reposo  6   3.754769    1.45    26288.15798
reptil  6   1.668786    2   16096.67329
resto   5   127.86  4.719244    33534.59648
retina  6   1.065689    1.3 20408.70439
rico    4   30.89   3.34209 8403.750112
rienda  6   1.227812    1.7 47409.10443
riesgo  6   49.10814    1.9 27952.2075
rincón  6   40.36   2.85    11348.35357
rival   5   21.96   1.95    6280.662778
rizos   5   1.92386 1.65    13076.21516
robar   5   45.521979   1.05    16453.61368
robo    4   12.68   1.35    6001.690127
roce    4   9.29    1.85    17324.37194
rocío   5   2.330248    1.75    7516.738268
rojo    4   63.75   3.454888    6000.261236
romana  6   3.862851    1.3 29153.72511
romero  6   2.555059    1.4 50803.45895
ropero  6   1.625553    1.65    37756.00008
rueda   5   22.86   1.8 73324.29454
rugido  6   1.802808    1.6 14027.75186
ruido   5   55.839488   1.6 15370.47191
ruso    4   22.86   1.55    8403.222604
saber   5   210.18  1.85    50934.49314
sabio   5   16.61   1.8 23142.98847
salida  6   73.599523   1.25    28056.88076
salir   5   385.027017  1.3 25158.55148
salita  6   0.600936    1.4 29098.18614
saliva  6   4.984742    1.45    21787.19703
salud   5   79.64   1.8 18658.37421
saludo  6   13.57   1.65    26395.78348
salvar  6   81.729452   1.3 33201.90003
sangre  6   184.46  2.65    32063.00521
sastre  6   4.608617    1.7 44793.2197
seguir  6   181.242717  1.7 33747.56259
semana  6   147.86  1.95    36986.85828
sentir  6   106.341886  1.65    52798.76945
señal   5   97.051157   1.55    26769.46178
sequía  6   2.546412    1.85    25011.22694
sereno  6   2.241621    1.6 57947.97798
sigilo  6   0.881949    1.8 21113.74877
signo   5   34.29   1.85    20015.1297
sillón  6   28.39   1.85    19937.77973
sitio   5   92.32   4.869723    19837.48186
situar  6   0.564188    1.6 28604.87823
sombra  6   73.04   1.85    38315.18836
sonido  6   37.32   1.95    43851.59834
soplo   5   3.201389    1.6 12224.66734
sorbo   5   7.32    1.8 27619.6371
sordo   5   13.57   1.7 35614.3356
subida  6   2.916053    1.7 21259.02615
subir   5   58.223777   1.7 18360.69687
suceso  6   3.975256    1.85    34767.65356
sueco   5   7.5 0.49995 72949.37324
suegra  6   4.630233    1.9 83514.93639
sueldo  6   16.07   1.9 79997.9499
tacha   5   0.609583    1   21706.11816
tachar  6   0.706856    1.2 33159.04767
tacto   5   18.39   1.65    19310.53885
tapete  6   1.703372    1.9 16177.97218
techo   5   40.18   1.65    35892.64252
tejado  6   11.07   1.85    35930.48188
tejas   5   3.13654 1   30908.02778
tejer   5   1.668786    1.5 47289.07075
telón   5   3.549413    1.55    29338.38087
tercio  6   4.563222    1.65    47306.24083
tesoro  6   15.54   2.35    44944.60608
tiempo  6   743.93  2.45    36284.2256
tienda  6   100.918331  1.6 54980.9861
tierra  6   256.459147  1.7 47897.62878
toalla  6   9.29    1.9 13317.16247
tocar   5   69.06224    1.25    27259.78686
tomar   5   111.96  5.662831    37163.97662
toque   5   41.829898   1.4 14506.78863
tórax   5   1.954123    1.95    14473.58796
torso   5   2.371319    1.2 30148.50961
traer   5   17.5    3.216339    42843.85468
tratar  6   63.063689   1.3 39828.33885
trecho  6   1.340217    1.85    18855.80549
trepar  6   3.125732    1.5 31341.29213
trote   5   0.940313    1.3 17316.27463
truco   5   9.11    1.85    9695.364706
tumba   5   22.68   1.65    14768.20441
turno   5   15.36   1.8 11383.02621
umbral  6   3.70289 2.2 12183.73893
unidad  6   52.160376   1.85    39614.7835
urraca  6   0.596613    1.95    18273.50286
útero   5   4.180612    1.8 12696.2832
utopía  6   1.242943    2.45    3327.22678
vaciar  6   3.16248 1.55    35513.8541
vacuna  6   16.96   2.1 23372.95028
valido  6   2.144347    1.45    30854.16409
valle   5   22.32   1.8 20853.03553
valor   5   68.690438   1.5 30591.82098
vasija  6   1.493693    1.9 25735.23163
vejez   5   3.104115    1.9 18669.5692
vello   5   2.287015    1.3 27481.35474
vender  6   50.941211   1.35    49977.99769
veneno  6   11.25   1.95    43881.85046
venir   5   51.07   5.975559    35203.46397
verano  6   59.693692   1.75    56184.63724
verdad  6   311.25  2   51007.13513
vereda  6   1.411551    1.8 45479.40628
verja   5   2.064366    1.45    34832.18285
verso   5   3.093307    1.45    36708.56216
vicio   5   3.78287 1.55    18781.13151
vidrio  6   18.39   2.3 17282.62639
vieja   5   84.096448   1.6 27800.20957
viejo   5   167.5   6.110847    27786.20214
viento  6   70.54   1.9 57295.02402
virgen  6   29.64   2.8 19803.8467
virtud  6   25.18   2.9 14245.72521
viuda   5   31.43   1.9 15570.81269
viudo   5   1.89792 1.9 13212.29038
vivir   5   218.684485  1.65    15508.82553
volar   5   17.14   3.285442    26940.38286
volcán  6   5.54    2.95    11350.19957
volver  6   314.066856  1.75    22374.86911
vuelo   5   49.29   1.75    64541.81223
yanqui  6   4.20439 2   15378.71429
zombi   5   3.318118    1.9 20430.2814
quizás  6   293.371313  2.25    66497.81987
manos   5   286.062808  1   35051.57423
feliz   5   283.799571  1.8 16029.25121
único   5   264.636631  1.75    6673.296606
cerca   5   262.650084  1.15    30335.40735
cinco   5   257.68912   1.55    13994.99662
grande  6   253.467437  1.65    29518.15817
cuatro  6   240.638103  1.8 23205.23944
último  6   171.482911  2.1 11165.60204
venido  6   162.959564  1.55    42466.6267
piensa  6   159.786277  1.75    44287.40642
anoche  6   156.660545  1.85    6732.704956
jamás   5   151.319132  1.7 13581.32993
detrás  6   143.357812  1.95    65913.36917
sucede  6   140.238565  1.7 30045.99601
viste   5   124.92983   1.25    28355.76858
siente  6   124.229458  1.45    62526.90004
conoce  6   122.59742   1.7 58361.41991
vuelto  6   122.590935  1.7 69052.72285
veras   5   121.553348  1   55061.84671
llegó   5   114.925759  1.65    13872.39046
fuiste  6   113.501238  1.8 24618.28622
supone  6   112.692785  1.7 21528.43791
ambos   5   108.572699  1.65    16318.47222
llevo   5   108.570537  1.6 13760.77202
ellas   5   106.947145  1.5 38107.91713
