words|s	fre|f	bigr|f	l|f	neig|f
onez	50.47	5.56	4	6
gaixo	50.75	8.54	5	3
parean	50.75	13.96	6	7
igande	51.02	9.81	6	0
bider	51.3	9.69	5	8
gerora	51.3	12.69	6	3
eske	51.57	7.36	4	5
irrati	51.57	11.76	6	1
zelula	51.57	11.57	6	2
kilo	51.85	5.37	4	8
samar	51.85	8.42	5	5
santa	51.85	9.95	5	6
itsaso	51.85	9.01	6	0
behi	52.4	7.36	4	7
geroz	52.4	9.37	5	7
moztu	52.4	9.02	5	4
mugatu	52.4	11.65	6	2
osoz	52.67	5.22	4	2
ukitu	52.67	8.1	5	3
estilo	52.94	10.37	6	0
anitz	53.22	7.64	5	1
erreka	53.22	12.8	6	3
esaera	53.22	12.94	6	3
orobat	53.22	10.11	6	0
airean	53.49	13.92	6	7
erne	54.04	4.72	4	5
salto	54.04	8.48	5	3
soinu	54.04	8.68	5	2
azido	54.31	6.31	5	0
inola	54.31	8.93	5	1
leiho	54.31	6.55	5	0
guraso	54.31	10.9	6	3
euri	54.59	6.94	4	8
proba	54.59	6.84	5	1
kokatu	54.59	12.51	6	4
sumatu	54.59	10.48	6	2
poema	54.86	7.28	5	1
fruitu	54.86	10.12	6	0
urduri	54.86	12.73	6	0
gune	55.14	5.4	4	4
izar	55.14	8.38	4	11
bira	55.41	9.09	4	16
estu	55.41	7.67	4	5
banan	55.41	10.99	5	12
marka	55.41	9.96	5	8
jateko	55.41	14.17	6	3
emazte	55.69	11.59	6	1
hautsi	55.69	11.51	6	3
triste	55.96	9.43	6	3
jabetu	56.24	12.21	6	2
auzo	56.51	5.47	4	4
ezean	56.51	9.04	5	7
arrunt	56.51	10.64	6	0
buelta	56.51	8.78	6	0
aire	56.78	8.65	4	8
jolas	56.78	7.47	5	1
osaba	56.78	7.54	5	1
nobela	57.06	11.83	6	2
ebaki	57.33	7.04	5	1
txit	57.88	4.73	4	3
jaiki	57.88	10.52	5	8
hobeki	57.88	12.24	6	1
abere	58.15	7.3	5	0
neurtu	58.43	12.06	6	0
salatu	58.43	13.3	6	3
onik	58.7	5.34	4	2
barru	58.7	10.58	5	7
berba	58.7	10.27	5	8
puska	58.7	8.55	5	2
bake	58.98	6.55	4	12
hotz	58.98	7.64	4	6
mapa	58.98	4.66	4	12
festa	58.98	9.83	5	3
gaitz	59.25	10.77	5	6
santu	59.25	10.34	5	7
ospatu	59.25	11.72	6	1
urruti	59.25	10.97	6	0
pauso	59.53	9.08	5	3
alor	59.8	5.33	4	3
atzeko	59.8	12.39	6	2
ezagun	59.8	10.84	6	1
bertze	60.08	12.97	6	1
froga	60.35	6.56	5	1
pieza	60.35	7.38	5	2
sari	60.62	7.29	4	9
sendo	60.9	8.69	5	2
tarte	60.9	11.08	5	3
adar	61.17	5.64	4	5
masa	61.17	6.56	4	16
arima	61.17	7.69	5	3
topo	61.45	4.47	4	4
belar	61.45	10.76	5	6
finean	61.45	12.84	6	6
hortxe	61.45	12.37	6	1
janari	61.45	12.37	6	5
inon	61.72	6.03	4	1
pilota	61.72	10.19	6	1
zarata	62.27	12.94	6	6
osagai	62.54	9.77	6	0
ezker	62.82	8.93	5	3
ukatu	63.09	8.4	5	7
bistan	63.09	12.75	6	5
mutiko	63.09	12.38	6	3
premia	63.37	9.34	6	0
inongo	63.64	11.26	6	0
organo	63.64	9.17	6	0
gertu	63.92	11.2	5	6
eskema	63.92	10.22	6	1
mugitu	63.92	11.88	6	1
askatu	64.46	12.57	6	2
preso	64.74	7.31	5	2
jardun	64.74	11.43	6	1
biziki	65.29	11.87	6	3
eguzki	65.29	11.49	6	0
oraino	65.56	10.88	6	1
andre	66.11	7.31	5	1
pisu	66.39	5.45	4	5
ahots	66.39	6.92	5	2
osoko	66.39	8.12	5	5
axola	66.66	6.97	5	1
lanari	66.66	12.24	6	3
kalte	67.21	9.75	5	0
sare	67.48	7.71	4	13
poesia	67.48	10.04	6	0
eginen	67.76	14.9	6	7
horma	68.03	9.08	5	4
garatu	68.03	13.84	6	4
ontzi	68.31	7.22	5	3
adin	68.58	6.22	4	5
larri	68.58	11.32	5	6
taula	68.58	9.09	5	3
bilera	68.58	12.82	6	2
edan	68.85	6.87	4	8
zaldi	68.85	9.85	5	0
ezinik	68.85	11.26	6	2
eten	69.13	7.06	4	6
plan	69.13	5.95	4	7
arin	69.4	7.24	4	11
arrain	69.4	12.67	6	4
azal	69.95	6.78	4	5
eraso	69.95	8.61	5	3
nekez	69.95	9.04	5	1
erdiko	69.95	13.25	6	4
modura	69.95	12.26	6	1
ezetz	70.22	8.02	5	1
maisu	70.22	8.35	5	3
egunez	70.5	12.34	6	7
gizaki	70.5	12.12	6	1
gaueko	71.05	12.63	6	4
goitik	71.05	12.28	6	3
ezen	71.32	8.13	4	10
batu	71.6	7.5	4	13
oreka	71.6	9.18	5	3
arras	71.87	9.42	5	4
batzar	71.87	12.78	6	1
kontuz	71.87	11.84	6	3
plano	72.14	8.1	5	5
negar	72.42	9.09	5	2
orokor	72.42	9.58	6	0
ardatz	72.97	13.03	6	2
areago	73.24	11.27	6	2
mintzo	73.24	10.81	6	3
odol	73.52	3.76	4	1
ados	73.79	4.3	4	0
zulo	74.07	6.11	4	4
beteko	74.07	14.16	6	6
moduko	74.07	12.01	6	1
tokian	74.34	11.95	6	3
kide	74.61	6.22	4	4
ukan	74.89	6.01	4	3
gehitu	74.89	12.47	6	0
arnasa	75.16	10.09	6	0
mina	75.44	6	4	15
botere	75.44	12.21	6	1
osorik	75.71	11.16	6	2
etzan	75.99	8.33	5	6
hutsik	76.26	10.71	6	4
ibai	76.53	5.01	4	2
sakon	76.53	9.26	5	7
beno	77.08	6.98	4	11
jota	77.36	7.33	4	7
piztu	77.36	9.49	5	4
luzatu	77.36	13.31	6	0
ahozko	77.63	10.46	6	1
urtero	77.91	13.33	6	4
banatu	78.18	14.04	6	5
onetan	78.46	12.2	6	5
lore	79	7.83	4	7
lekuko	79	11.72	6	1
saldu	79.55	10.13	5	4
aldez	79.83	9.76	5	4
karga	79.83	8.7	5	7
kezka	79.83	7.72	5	2
guri	80.1	8.42	4	12
deus	80.38	6.53	4	2
amona	80.38	7.77	5	2
erre	80.65	7.18	4	10
zaindu	80.65	12.27	6	3
ohar	81.2	5.79	4	3
sarri	81.2	11.35	5	4
nabari	81.2	11.1	6	2
ostean	81.2	13.9	6	5
orri	81.75	6.58	4	6
kanta	82.29	9.73	5	11
poliki	82.29	11.24	6	1
baietz	82.84	11.84	6	0
milaka	82.84	11.51	6	4
baso	83.12	7.38	4	10
iragan	83.39	11.85	6	0
ordena	83.39	12.3	6	2
ahala	83.67	7.6	5	7
eseri	83.67	8.74	5	2
otoitz	83.67	9.51	6	0
eratu	83.94	10.22	5	4
metodo	84.21	8.53	6	0
gorri	84.49	10.64	5	5
zutik	84.49	10	5	3
arreta	85.31	12.78	6	6
urrats	85.31	11.73	6	2
letra	85.86	8.74	5	1
halaxe	85.86	11.35	6	2
medio	86.14	8.38	5	1
haize	86.41	9.66	5	1
zehatz	86.41	12.05	6	2
apaiz	86.68	7.98	5	3
luzera	86.68	12.77	6	1
minutu	86.68	11.53	6	1
libre	86.96	6.66	5	2
ilun	87.23	5.35	4	5
hurbil	87.23	9.34	6	1
seguru	87.51	11.62	6	2
bazter	87.78	12.82	6	0
argitu	88.33	12.53	6	0
oker	88.6	4.73	4	3
barre	88.6	11.61	5	5
antza	89.15	8.16	5	10
saio	89.43	7.1	4	11
bidaia	89.7	12.28	6	2
hanka	90.25	9.69	5	3
urrun	90.25	9.16	5	5
zelan	90.25	9.61	5	10
anaia	90.53	8.28	5	3
meza	91.35	5.08	4	11
agiri	91.35	8.49	5	1
plaza	91.35	8.3	5	4
gogora	91.35	11.86	6	2
zeharo	91.62	11.38	6	0
zelako	92.44	13.23	6	5
hazi	92.99	6.85	4	7
apur	94.09	5.19	4	5
holako	94.09	13.38	6	5
kopuru	94.64	9.88	6	0
zerga	95.46	8.92	5	6
berau	96.01	10.67	5	7
tira	96.29	8.03	4	14
adina	97.38	9.71	5	4
eutsi	97.93	9.35	5	0
osasun	98.21	10.4	6	1
iritzi	98.75	12.14	6	2
sozial	98.75	11.31	6	1
hego	99.58	6.33	4	5
goiz	100.13	6.47	4	5
gura	100.13	8.85	4	13
izanez	100.13	13.92	6	4
beltz	100.4	9.62	5	1
asmo	100.67	5.17	4	4
doan	100.95	7.68	4	8
eran	100.95	7.37	4	11
aparte	101.22	10.7	6	1
kirol	101.5	7.68	5	0
esaldi	101.5	11.41	6	0
lerro	101.77	10.61	5	4
amets	102.05	6.99	5	1
lotu	102.32	6.71	4	5
ipuin	102.87	7	5	0
labur	103.42	7.84	5	2
gaitu	104.24	11.71	5	8
oihu	104.51	4.3	4	0
bero	104.79	9.05	4	10
klase	105.61	6.66	5	2
jantzi	105.61	12.41	6	0
ohartu	105.61	11.66	6	2
iturri	105.89	11.16	6	2
ezkero	106.43	10.97	6	0
nora	106.71	8.67	4	7
ziur	106.71	6.33	4	1
geldi	107.26	9.3	5	1
nazio	107.26	8.79	5	1
ederki	107.26	10.53	6	1
eraiki	107.26	12.23	6	0
mahai	107.53	9.85	5	2
pare	108.36	7.58	4	13
landu	108.36	10.15	5	5
horra	109.18	10.76	5	12
paper	109.18	7.17	5	2
jaitsi	109.45	12.74	6	1
bana	109.73	7.57	4	23
erori	109.73	9.44	5	4
agur	110.28	6.32	4	7
lotura	110.55	12.81	6	3
alaba	110.82	7.73	5	3
aste	112.2	7.85	4	7
aditz	112.2	8.08	5	2
pasatu	112.47	12.23	6	6
asmoz	113.02	7.54	5	3
zentzu	114.12	12.65	6	7
kale	114.39	6.18	4	9
ostera	114.39	13.4	6	4
arlo	115.76	5.82	4	5
huts	115.76	6.9	4	4
goiko	116.86	8.4	5	2
iraun	117.13	8.68	5	4
maiz	117.68	7.12	4	5
isilik	118.23	10.13	6	1
azkar	118.5	9.93	5	1
jasan	119.6	9.63	5	9
ahalik	119.6	10.94	6	5
espero	119.6	11.05	6	1
aurten	119.88	14.23	6	1
hortaz	120.15	13.5	6	2
gogo	121.25	6.46	4	2
bilatu	121.25	13.11	6	3
nahian	123.72	12.55	6	4
makina	124.27	11.51	6	5
erran	125.36	10.41	5	7
izaki	125.64	8.54	5	3
jokatu	126.19	12.5	6	3
aritu	126.73	9.93	5	5
hantxe	127.56	11.84	6	1
jainko	127.56	12.77	6	1
zabal	127.83	8.09	5	3
legez	128.38	9.18	5	2
multzo	128.93	10.25	6	0
erosi	129.75	8.45	5	5
osatu	130.03	9.19	5	5
giro	130.57	8.05	4	5
merezi	130.85	11.81	6	2
sekula	131.12	11.41	6	2
aurki	133.04	9.35	5	2
gela	133.87	8.4	4	12
zain	134.41	8.78	4	13
hari	135.24	8.22	4	15
ardura	135.24	13.68	6	2
dudan	135.51	9.35	5	11
bihotz	135.51	9.98	6	2
nolako	135.79	12.32	6	3
dantza	136.06	12.52	6	5
amaitu	136.34	12.18	6	1
aurrez	137.16	12.78	6	6
atzera	139.63	12.52	6	2
nondik	139.63	12.32	6	0
gogor	140.73	7.98	5	4
gorde	141	9.1	5	2
harri	141	11.91	5	7
ulertu	141	11.31	6	1
mutil	141.55	8.81	5	1
zuek	141.82	8.25	4	6
jaten	142.1	11.71	5	12
beldur	142.1	11.64	6	1
asmatu	142.92	11.27	6	3
obra	144.29	6.11	4	1
prest	144.57	7.13	5	2
teoria	145.94	11.1	6	1
egoki	146.49	8.29	5	2
arau	147.58	5.91	4	4
lasai	147.58	8.77	5	1
jabe	148.13	7.45	4	9
bertso	148.13	13.02	6	1
igaro	148.4	7.59	5	3
atal	148.68	6.28	4	5
itxi	148.68	5.06	4	0
jaun	151.97	7.17	4	5
metro	151.97	7.77	5	0
muga	152.52	5.85	4	5
bidali	153.34	11.85	6	1
bukatu	154.71	12.6	6	2
errege	154.99	11.01	6	1
burutu	155.81	12.27	6	1
gaizki	156.36	12.07	6	2
datu	156.91	7.41	4	9
ipar	156.91	5.25	4	8
eredu	156.91	8.67	5	1
ipini	156.91	7.83	5	0
aurre	157.18	10	5	1
bihar	157.18	10.38	5	8
ireki	157.18	8.68	5	4
abiatu	157.46	11.31	6	1
pezeta	160.2	11.46	6	0
kolore	160.48	10.85	6	1
hara	161.3	8.66	4	20
egungo	162.12	13.2	6	3
sail	162.4	6.69	4	6
saiatu	162.4	12.82	6	2
hobe	162.94	6.97	4	2
berez	163.22	12.41	5	11
milioi	163.22	10.16	6	2
idazle	164.32	9.93	6	1
izaera	164.59	13.55	6	1
joko	165.41	6.82	4	6
ihes	165.69	4.5	4	0
mende	166.51	9.96	5	5
eremu	167.61	7.78	5	1
pozik	168.16	8.33	5	1
tresna	170.35	10.03	6	0
gerra	170.63	10.72	5	11
atzo	171.72	5.87	4	6
deitu	172	10.07	5	3
zahar	173.09	10.88	5	8
barik	174.74	10.85	5	3
ahaztu	175.01	11.09	6	1
irudi	175.84	8.35	5	0
ikasle	175.84	9.32	6	2
erraz	177.21	10.04	5	6
ekin	177.48	6.39	4	4
mendi	178.85	9.66	5	4
kontu	179.13	9.86	5	4
joera	179.68	8.41	5	1
eliza	179.95	8	5	2
esate	179.95	9.33	5	2
soilik	181.05	10.92	6	2
hiri	181.6	8.46	4	10
jaio	181.6	7.43	4	8
elkar	182.15	8.67	5	3
bakar	182.7	10.96	5	5
eder	183.79	5.39	4	4
buruan	184.34	13.13	6	4
begi	185.44	7.66	4	7
testu	186.81	10.53	5	4
zuri	188.18	8.86	4	15
gehien	188.73	13.04	6	3
ordez	189.83	10.39	5	4
aldera	189.83	13.25	6	5
udal	190.1	5.84	4	5
betiko	190.65	13.1	6	3
gogoan	190.92	12.59	6	5
ezarri	192.85	12.88	6	3
seme	194.76	4.9	4	0
musika	195.86	11.69	6	3
berezi	197.23	13.04	6	4
inor	197.51	5.12	4	4
falta	197.51	8.73	5	1
mila	198.06	6.95	4	11
pixka	198.06	7.54	5	2
eusko	198.33	8.52	5	0
orduko	198.6	13.02	6	4
etxeko	199.43	12.88	6	1
agindu	199.98	12.29	6	1
hobeto	200.8	11.2	6	2
kanpo	204.09	8.11	5	1
toki	204.37	5.82	4	5
kendu	204.64	9.57	5	4
forma	205.74	7.99	5	5
pasa	207.11	6.63	4	17
irten	210.4	10.68	5	4
inguru	210.4	10.57	6	2
ideia	211.22	7.74	5	2
batean	211.5	15.48	6	12
onartu	213.97	12.06	6	1
batere	214.79	14.11	6	2
neurri	215.06	11.87	6	0
itxura	215.61	11.85	6	3
eragin	218.63	11.76	6	1
osoan	225.21	8.79	5	3
itzuli	227.96	10.71	6	2
aldeko	228.23	13.13	6	2
ageri	232.62	9	5	7
ugari	238.66	8.5	5	3
luze	240.03	5.88	4	4
noiz	240.58	6.82	4	3
horixe	243.87	12.17	6	2
gaurko	246.06	12.58	6	1
buru	246.61	6.81	4	2
maite	246.88	11.28	5	5
haur	248.8	7.83	4	3
esker	252.65	8.87	5	4
erabat	253.74	11.66	6	0
neska	254.84	9.78	5	0
hona	257.04	7.61	4	9
estatu	257.58	13.1	6	4
gazte	259.23	10.1	5	2
berdin	260.05	13.32	6	2
eskola	260.05	12.09	6	4
jakina	260.6	11.74	6	3
ikasi	261.42	8.73	5	3
bildu	264.72	9.63	5	1
ustez	264.99	9.53	5	7
barne	265.54	9.83	5	3
ezik	266.91	6.9	4	4
abar	269.11	5.96	4	6
arazo	269.11	8.96	5	2
eskatu	269.38	13.35	6	4
ondoko	271.57	11.91	6	1
aldatu	272.4	13.23	6	4
modu	272.67	6.17	4	1
arren	272.67	11.45	5	10
lege	273.22	5.96	4	4
diru	274.32	8.68	4	8
agian	278.16	9.19	5	6
indar	278.98	9.44	5	1
edota	280.35	8.57	5	0
hauxe	280.35	9.48	5	2
txiki	281.72	8.25	5	4
eduki	282	8.36	5	0
zeren	287.21	12.24	5	15
nagusi	288.03	10.98	6	0
gabeko	288.58	12.93	6	3
laster	291.33	12.39	6	1
kontra	293.24	12.3	6	1
aski	294.34	7.16	4	7
bota	295.44	6.74	4	14
aurka	296.81	9.3	5	2
delako	299.28	12.78	6	4
esku	299.55	7.46	4	4
ekarri	299.83	11.72	6	2
galdu	300.93	10.44	5	4
ezta	301.75	6.97	4	5
ordu	302.3	6.29	4	6
zati	306.41	7.15	4	6
izen	308.61	8.6	4	7
jende	314.37	9.61	5	1
nahiko	322.05	12.21	6	2
geratu	326.71	13.97	6	3
erdi	328.63	6.44	4	7
halako	328.63	13.74	6	5
bila	333.84	7.8	4	15
guzti	333.84	8.8	5	0
azaldu	335.49	11.47	6	2
aldi	338.23	7.11	4	5
leku	339.88	6.09	4	4
iritsi	340.15	11.92	6	1
garbi	341.52	9.56	5	1
ondoan	343.99	12.55	6	3
mundu	347.29	9.42	5	3
idatzi	351.13	11.96	6	0
puntu	354.42	9.38	5	4
bezain	360.18	13.54	6	3
honako	364.02	13.49	6	6
eraman	367.86	12.49	6	4
jaso	371.7	6.89	4	6
lagun	372.8	9.26	5	2
mota	373.07	7.02	4	12
kasu	373.89	6.7	4	9
gain	374.72	9.08	4	9
liburu	374.99	10.53	6	0
aipatu	378.56	12.02	6	4
agertu	382.95	11.81	6	4
foru	385.42	6.98	4	6
ibili	387.06	7.94	5	0
etxe	392.55	6.01	4	1
hots	397.21	7.24	4	4
noski	398.58	8.78	5	2
gora	399.4	8.32	4	13
guztiz	399.95	12.21	6	2
garai	401.05	10.86	5	5
zera	404.89	9.15	4	19
balio	412.3	10.04	5	6
aukera	412.57	12.61	6	0
maila	415.04	10.72	5	10
baldin	418.33	13.17	6	0
parte	422.72	11.09	5	4
bete	428.76	8.7	4	10
entzun	428.76	11.64	6	1
lortu	430.68	10.58	5	6
heldu	432.05	9.98	5	0
inoiz	438.91	8.96	5	0
argi	447.96	6.85	4	4
zenbat	451.8	11.96	6	2
aldiz	456.19	9.24	5	5
hartan	458.38	14.32	6	6
gisa	463.87	6.4	4	10
honela	467.71	13.72	6	4
alegia	469.08	11.64	6	2
gutxi	470.73	9.34	5	1
ongi	472.37	6.74	4	2
egia	478.13	8.44	4	5
talde	478.13	9.8	5	2
begira	483.35	13.57	6	2
handi	484.17	10.48	5	0
