words|s	conc|f	fre|f	l|f	bigr|f	neig|f
skin	614	47	4	6.91	7
sold	310	47	4	9.75	8
soul	289	47	4	8.61	4
anger	315	48	5	10.7	1
guard	517	48	5	10.3	0
liquid	555	48	6	10.23	0
mantle	579	48	6	16.05	1
mile	460	48	4	9.43	18
plain	426	48	5	12.47	3
suit	545	48	4	7.65	5
count	351	49	5	13.8	3
driver	553	49	6	14.29	3
milk	670	49	4	9.19	6
ride	424	49	4	8.71	14
chain	595	50	5	12.25	1
choose	308	50	6	14.87	1
engine	586	50	6	13.47	0
extra	262	50	5	8.46	0
fill	372	50	4	10.45	15
pair	377	50	4	9.36	7
proud	327	50	5	11.48	0
till	365	50	4	10.58	15
worse	279	50	5	13.95	4
advice	291	51	6	13.53	1
angle	467	51	5	9.19	1
cousin	502	51	6	14.08	0
estate	541	51	6	11.47	0
listen	408	51	6	15.67	1
pull	360	51	4	8.9	13
rear	402	51	4	9.77	14
sick	404	51	4	8.96	15
throat	578	51	6	12.94	1
dozen	396	52	5	9.97	2
flesh	597	52	5	11.25	3
gold	576	52	4	9.47	9
hero	428	52	4	8.86	5
indian	622	52	6	12.36	0
raise	340	52	5	11.58	0
trust	300	52	5	12.08	2
band	590	53	4	10.16	14
bitter	409	53	6	16.16	8
breath	479	53	6	13.56	2
chest	580	53	5	13.59	3
crowd	546	53	5	10.66	2
grass	599	53	5	12.26	7
minute	361	53	6	12.85	0
attend	324	54	6	13.39	0
dear	326	54	4	9.71	15
item	436	54	4	6.86	1
lake	585	54	4	10.07	15
phone	624	54	5	11.43	3
risk	290	54	4	8.01	5
rural	358	54	5	10.18	2
seat	568	54	4	10.9	15
soil	581	54	4	8.17	6
symbol	402	54	6	11.09	0
cross	514	55	5	12.14	6
device	444	55	6	14.61	1
fort	580	55	4	9.73	11
motion	367	55	6	15.16	3
pick	502	55	4	8.49	14
tall	439	55	4	10.16	15
theme	336	55	5	13	3
wood	606	55	4	9.91	8
yellow	537	55	6	13.05	3
agency	426	56	6	11.84	0
draw	442	56	4	6.58	5
guess	247	56	5	10.82	1
motor	565	56	5	10.52	1
review	388	56	6	13.48	0
spite	262	56	5	11.39	8
vision	395	56	6	14.16	0
wage	451	56	4	7.96	11
wheel	573	56	5	13.57	0
wild	381	56	4	10.61	7
afraid	336	57	6	12.02	0
apart	304	57	5	11.15	0
artist	554	57	6	13.04	0
bear	585	57	4	10.33	18
spot	512	57	4	7.05	7
truck	595	57	5	11.15	4
uncle	580	57	5	10.12	0
busy	329	58	4	8.22	4
hole	485	58	4	9.21	14
lose	299	58	4	9.78	12
minor	353	58	5	10.73	2
pale	385	58	4	9.43	20
safe	376	58	4	8.68	7
smile	514	58	5	11.75	2
stone	614	58	5	12.36	8
unique	300	58	6	11.27	0
bible	585	59	5	9.62	0
budget	366	59	6	12.95	1
drop	320	59	4	8.62	3
mine	452	59	4	9.58	21
notice	479	59	6	14.68	1
novel	529	59	5	11.56	2
roof	586	59	4	8.46	7
snow	618	59	4	8.34	6
taste	464	59	5	11.61	6
tree	604	59	4	7.69	4
circle	515	60	6	12.66	0
garden	602	60	6	14.47	2
goal	482	60	4	8.74	4
moon	581	60	4	10.15	10
nose	628	60	4	8.88	10
scale	475	60	5	10.76	6
slow	293	60	4	7.91	12
task	409	60	4	8.9	7
text	498	60	4	8.31	4
beach	612	61	5	13.68	7
closer	323	61	6	14.8	4
coast	562	61	5	12.35	3
duty	322	61	4	7.19	1
ideal	253	61	5	10.95	1
metal	582	61	5	10.57	2
shore	574	61	5	13.11	13
soft	414	61	4	8.34	5
speech	453	61	6	13.23	0
travel	402	61	6	13.27	1
appeal	333	62	6	13.04	1
baby	589	62	4	7.88	1
cool	364	62	4	9.11	9
drove	447	62	5	11.74	4
save	314	62	4	11.18	13
broken	383	63	6	15.23	1
fellow	502	63	6	13.45	5
grow	409	63	4	9.43	6
kill	386	63	4	10.12	13
narrow	372	63	6	13.31	4
rifle	606	63	5	9.69	0
shop	549	63	4	8.14	9
signal	464	63	6	12.53	0
wind	552	63	4	10.81	12
belief	270	64	6	14.23	3
dream	386	64	5	11.58	3
empty	374	64	5	8.92	0
site	408	64	4	9.7	10
cell	542	65	4	9.79	10
desk	583	65	4	8.48	3
escape	341	65	6	10.4	0
join	292	65	4	7.66	3
object	487	65	6	11.56	1
sleep	484	65	5	10.62	5
birth	471	66	5	11.92	5
block	558	66	5	11.45	4
chair	606	66	5	12.62	2
forest	609	66	6	14.98	0
page	571	66	4	7.97	11
relief	303	66	6	14.15	3
search	371	66	6	14.69	1
career	373	67	6	16.21	2
dress	595	67	5	12.34	5
flow	311	67	4	8.05	8
impact	379	67	6	11.37	1
jury	540	67	4	9.32	2
thick	386	67	5	14.57	3
wonder	305	67	6	15.14	4
animal	587	68	6	13.44	0
beat	361	68	4	11.35	19
frank	401	68	5	12.09	5
quick	343	68	5	12.61	2
china	578	69	5	12.57	3
seek	375	69	4	9.34	10
clean	392	70	5	12.3	3
danger	338	70	6	15.23	5
dust	550	70	4	9.62	11
foot	558	70	4	9.26	12
rain	600	70	4	9.23	10
song	514	70	4	9.85	8
sweet	463	70	5	10.05	5
beauty	336	71	6	13.82	0
column	520	71	6	12.37	0
factor	328	71	6	13.58	0
forth	322	71	5	12.69	6
allow	268	72	5	9.81	3
boat	637	72	4	10.17	9
broke	394	72	5	11.52	2
hill	588	72	4	9.99	14
master	498	72	6	16.31	7
phase	360	72	5	11.73	1
wine	621	72	4	10.61	21
brief	361	73	5	11.18	1
rule	286	73	4	8.02	5
valley	575	73	6	14	2
fourth	307	74	6	14.43	0
frame	562	74	5	10.51	1
gain	346	74	4	9.27	8
leader	487	74	6	15.53	6
rich	377	74	4	8.85	2
send	324	74	4	9.67	8
store	548	74	5	12.92	13
camp	571	75	4	8.94	6
junior	384	75	6	12.47	0
murder	445	75	6	14.96	0
nice	279	75	4	8.22	7
rock	600	75	4	8.54	12
vote	389	75	4	7.6	5
bottle	591	76	6	16	1
knife	612	76	5	9.02	0
memory	284	76	6	14.29	0
quiet	389	76	5	11.2	2
region	441	76	6	14.21	1
fair	413	77	4	9.33	4
judge	506	77	5	8.97	3
laid	350	77	4	10.31	9
permit	399	77	6	13.29	1
title	384	77	5	10.01	1
coffee	613	78	6	12.31	1
edge	465	78	4	6.34	1
fast	304	78	4	10.33	11
term	374	79	4	9.54	3
gray	471	80	4	7.91	8
lady	564	80	4	8.9	3
event	379	81	5	11.47	0
file	480	81	4	9.65	12
neck	587	81	4	8.47	5
nine	452	81	4	8.98	12
round	438	81	5	13.3	7
trip	448	81	4	6.76	5
watch	487	81	5	12.36	7
crisis	319	82	6	12.38	2
drink	549	82	5	13.02	3
train	592	82	5	12.38	6
youth	439	82	5	12.68	2
bank	573	83	4	9.29	16
mark	464	83	4	9.94	12
ship	615	83	4	8.74	8
team	492	83	4	8.72	9
winter	499	83	6	16.21	2
broad	399	84	5	10.5	2
learn	370	84	5	12.25	1
post	533	84	4	9.85	13
shape	452	85	5	10.33	6
build	402	86	5	12.81	2
loss	313	86	4	9.76	12
rose	608	86	4	9.46	14
sight	393	86	5	13.26	9
battle	564	87	6	16.14	3
bright	473	87	6	14.11	4
spoke	526	87	5	10.62	5
touch	417	87	5	12.75	5
break	360	88	5	11.97	6
carry	364	88	5	11.94	5
cover	502	88	5	13.46	10
enemy	434	88	5	9.14	1
king	559	88	4	9.37	9
pain	426	88	4	9.67	10
poetry	425	88	6	11.69	0
pass	385	89	4	9.61	12
dance	502	90	5	11.6	1
base	441	91	4	9.75	12
dinner	542	91	6	15.22	2
weight	462	91	6	13	3
fell	407	92	4	10.42	13
jack	552	92	4	8.84	10
thin	392	92	4	11.01	6
lord	409	93	4	10.02	7
older	348	93	5	11.13	5
park	579	94	4	9.59	13
sign	520	94	4	7.66	1
wait	317	94	4	9.33	12
worth	257	94	5	13.42	2
hell	355	95	4	10.66	16
film	604	96	4	8.85	3
usual	235	96	5	9.81	0
cattle	600	97	6	16.67	3
heat	472	97	4	11.19	11
bridge	623	98	6	12.66	2
caught	340	98	6	14.09	2
claim	331	98	5	11.34	0
fight	455	98	5	13.6	8
happy	355	98	5	9.82	2
style	344	98	5	10.72	3
glass	635	99	5	11.57	3
poet	552	99	4	8.23	4
clay	606	100	4	8.07	7
doctor	575	100	6	13.22	0
meant	226	100	5	12.66	2
walk	452	100	4	9.19	4
news	437	102	4	7.63	6
rise	368	102	4	8.68	9
supply	368	102	6	14.46	1
date	514	103	4	8.74	13
mouth	568	103	5	13	3
race	463	103	4	9.37	14
teeth	618	103	5	10.99	1
unit	389	103	4	6.24	1
eight	368	104	5	12.32	8
role	335	104	4	9.21	14
attack	411	105	6	11.62	1
health	372	105	6	14.14	2
season	445	105	6	15.14	1
hardly	223	106	6	15.01	0
reach	368	106	5	13.05	7
scene	408	106	5	10.07	2
write	446	106	5	12.32	4
pretty	341	107	6	12.85	0
none	288	108	4	8.97	13
corps	438	109	5	10.77	6
deep	400	109	4	9.44	9
firm	400	109	4	8.81	5
income	429	109	6	13.8	0
ball	615	110	4	10.34	18
extent	267	110	6	13.48	2
heavy	413	110	5	11.33	2
lack	311	110	4	10.01	16
mass	397	110	4	9.97	14
speak	419	110	5	11.47	4
wish	270	110	4	9.73	6
pool	573	111	4	8.63	9
shot	467	112	4	8.1	12
born	336	113	4	9.63	10
poor	311	113	4	9.15	8
staff	515	113	5	11.16	2
stay	329	113	4	8.13	5
design	444	114	6	12.82	1
latter	280	114	6	16.87	7
plane	535	114	5	12.11	6
corner	533	115	6	16.08	1
green	460	116	5	12.83	3
length	365	116	6	13.19	0
horse	613	117	5	13.32	5
appear	271	118	6	12.2	1
chief	503	119	5	11.96	1
main	324	119	4	10.02	9
test	520	119	4	9.9	12
window	609	119	6	13.75	0
march	440	120	5	12.34	3
radio	615	120	5	9.27	2
stop	308	120	4	7.56	5
blood	613	121	5	11.5	4
game	477	123	4	9.93	13
manner	297	124	6	15.91	3
degree	406	125	6	12.88	1
easy	288	125	4	8.76	2
farm	565	125	4	9.28	6
plant	594	125	5	12.52	5
wide	348	125	4	10.05	14
hotel	591	126	5	12.09	2
truth	261	126	5	11.82	0
fear	326	127	4	9.92	11
note	525	127	4	8.3	9
spring	524	127	6	15.4	5
lead	543	129	4	9.9	13
piece	384	129	5	10.71	1
theory	287	129	6	13.75	0
wrong	303	129	5	12.79	3
cause	287	130	5	11.93	1
month	345	130	5	11.6	1
series	373	130	6	15.76	1
chance	254	131	6	14.63	2
step	508	131	4	7.55	4
army	543	132	4	7.18	2
friend	450	133	6	14.39	0
summer	439	134	6	14.98	2
trial	446	134	5	11.17	2
volume	418	135	6	12.24	0
normal	237	136	6	14.09	1
member	455	137	6	14.86	0
record	558	137	6	15.42	0
size	354	138	4	7.19	4
nation	415	139	6	14.8	2
color	467	141	5	11.12	1
deal	342	142	4	9.36	16
method	303	142	6	13.68	0
moral	220	142	5	11.82	2
bill	528	143	4	9.61	15
blue	459	143	4	6.98	4
square	516	143	6	12.29	1
hour	375	144	4	9.79	6
club	509	145	4	6.67	2
effort	296	145	6	14.15	0
letter	577	145	6	16.55	6
paid	386	145	4	10.28	8
sent	292	145	4	9.57	13
whom	243	146	4	10.23	3
fall	409	147	4	10.2	12
food	597	147	4	9.85	10
hair	583	148	4	9.98	5
meet	341	148	4	9.3	5
stand	450	148	5	12.82	2
earth	580	150	5	12.34	0
answer	397	152	6	14.25	0
hall	565	152	4	10.85	17
issue	338	152	5	8.51	0
hear	394	153	4	10.16	15
story	427	153	5	12.38	4
talk	422	154	4	9.13	8
growth	381	155	6	13.48	0
market	551	155	6	15.37	2
paper	599	157	5	12.14	6
cent	544	158	4	8.99	11
floor	559	158	5	11.54	2
higher	324	160	6	15.23	1
range	417	160	5	11.01	0
wall	589	160	4	10.22	12
fine	328	161	4	9.8	16
simple	306	161	6	15.33	6
care	342	162	4	10.52	22
rest	351	163	4	9.93	11
river	585	165	5	13.36	10
shown	315	166	5	12.31	3
island	596	167	6	12.4	1
hold	416	169	4	9.35	10
cold	457	171	4	9.49	10
move	390	171	4	10.17	10
amount	335	172	6	13.99	0
heart	605	173	5	12.91	2
read	420	173	4	9.74	10
dead	429	174	4	9.68	10
report	417	174	6	14.02	3
person	562	175	6	14.82	1
else	222	176	4	8.59	1
live	436	177	4	10.39	12
hope	261	178	4	8.31	13
late	262	179	4	9.03	14
wrote	385	181	5	11.8	1
spirit	296	182	6	11.77	0
union	449	182	5	10.55	1
east	363	183	4	10.19	10
father	594	183	6	16.86	4
space	381	184	5	12	6
dark	497	185	4	9.34	10
ground	558	186	6	15.74	1
kept	264	186	4	7.47	2
view	379	186	4	8.1	1
fire	595	187	4	9.9	15
call	389	188	4	10.35	12
nature	414	191	6	15	1
book	609	193	4	10.07	12
alone	390	195	5	12.04	3
gone	321	195	4	9.67	11
idea	259	195	4	7.59	0
road	583	197	4	8.94	8
near	337	198	4	9.92	11
peace	309	198	5	12.55	3
table	604	198	5	11.14	4
mean	313	199	4	9.88	9
soon	261	199	4	10.02	6
play	468	200	4	8.58	5
type	376	200	4	6.67	3
value	260	200	5	9.52	2
hard	425	202	4	10.06	13
black	470	203	5	12.39	4
sound	502	204	5	13.22	7
plan	357	205	4	8.85	3
figure	472	209	6	14.36	0
rate	308	209	4	8.56	16
short	351	212	5	12.41	7
town	556	212	4	9.52	5
child	581	213	5	14.11	1
effect	295	213	6	13.45	1
level	422	213	5	12.39	3
able	302	216	4	8.02	3
feel	324	216	4	9.55	9
mother	579	216	6	16.68	1
music	512	216	5	9.89	0
party	496	216	5	12.27	6
land	604	217	4	10.07	11
clear	359	219	5	11.83	2
girl	607	220	4	8.19	3
front	424	221	5	12.36	2
center	371	224	6	15.59	1
woman	580	224	5	12.74	2
voice	485	226	5	12.73	0
future	311	227	6	14.23	0
wife	562	228	4	10.03	9
cost	348	229	4	10.32	10
seem	226	229	4	10.25	9
court	509	230	5	12.96	1
force	331	230	5	12.19	3
full	378	230	4	9.12	13
true	269	231	4	5.98	1
love	311	232	4	9.97	12
turn	359	233	4	8.08	6
close	391	234	5	13.03	3
west	355	235	4	10.75	14
board	565	239	5	11.58	3
south	347	240	5	12.8	2
reason	332	241	6	15.31	1
result	318	244	6	14.27	0
street	579	244	6	15.28	0
known	226	245	5	11.09	1
became	273	246	6	14.82	1
moment	301	246	6	14.9	0
office	569	255	6	13.83	0
miss	372	258	4	8.98	7
free	328	260	4	9.03	3
real	285	260	4	9.42	13
keep	339	264	4	9.31	9
sure	281	264	4	9.96	6
money	574	265	5	11.48	1
period	358	265	6	14.57	0
tell	306	268	4	10.22	12
half	389	275	4	9.71	5
week	383	275	4	10.05	7
body	568	276	4	8.48	2
death	365	277	5	12.33	2
seen	336	279	4	10.8	10
past	293	281	4	10.36	14
feet	642	283	4	9.54	8
five	365	286	4	10.03	9
show	402	287	4	8.85	9
name	405	294	4	9.62	9
line	477	298	4	10.16	22
human	583	299	5	11.08	0
matter	439	308	6	17.1	7
whole	324	309	5	13.12	4
help	320	311	4	9.47	7
sense	316	311	5	11.83	2
door	606	312	4	9.83	5
thus	197	312	4	9.23	3
kind	323	313	4	9.68	8
open	381	319	4	8.93	3
done	271	320	4	9.89	17
area	384	323	4	8.28	1
mind	333	325	4	9.78	12
want	302	329	4	9.94	12
family	525	331	6	15.06	0
light	550	333	5	13.29	8
thing	350	333	5	15.28	5
power	325	342	5	12.38	6
least	275	343	5	13	7
ever	299	345	4	10.03	3
church	587	348	6	13.53	0
best	282	351	4	10.49	14
felt	437	357	4	9.42	7
four	365	359	4	9.76	7
need	314	360	4	10.03	7
case	548	362	4	9.75	14
white	472	365	5	14.07	3
form	438	370	4	9.54	10
face	599	371	4	9.79	11
second	344	373	6	15.75	0
order	344	376	5	11.91	2
side	394	380	4	8.99	11
social	242	380	6	14.4	0
room	566	383	4	10.43	9
group	451	390	5	12.44	1
give	326	391	4	9.75	6
city	554	393	4	8.71	2
next	262	394	4	8.51	4
knew	291	395	4	9.02	3
point	464	395	5	13.17	3
find	351	399	4	10.01	11
look	376	399	4	10.21	12
night	496	411	5	12.96	8
told	318	413	4	9.42	8
system	356	416	6	14.27	0
head	603	424	4	10.14	12
enough	246	430	6	15.33	0
hand	604	431	4	10.66	9
think	346	433	5	14.86	6
less	266	438	4	9.35	11
public	356	438	6	13.47	0
water	616	442	5	13.55	7
fact	332	447	4	9.39	5
away	257	456	4	8.77	2
always	249	458	6	14.5	0
course	389	465	6	15.51	2
number	395	472	6	14.68	2
left	341	480	4	8.74	6
every	264	491	5	12.43	1
school	573	492	6	13.4	0
upon	311	495	4	7.85	0
high	371	497	4	8.03	2
once	315	499	4	9.3	0
part	339	500	4	9.49	17
